from_table,sr_alternate,sr_asciiname,sr_names,sr_scores
Jawa Timur,"Aust-Java,Cava Rocvetisi,Cava Rocvetışi,Daerah Tingkat I Djawa Timur,Dogu Cava,Dong Java,Dorno Zhava,Doğu Cava,Dwyrain Jawa,East Java,Giava Orientale,Istochna Java,Itae-Jaava,Itä-Jaava,Iztochna Java,Java Oriental,Java Timur,Java oriental,Jawa Timu,Jawa Timur,Jawa Wetan,Jawa Wschodnia,Jawa Wétan,Oost-Java,Orienta Javo,Ost-Java,Propinsi Djawa Timur,Propinsi Jawa Timur,Provincia Java de Est,Provinsi Jawa Timur,Rytu Java,Rytų Java,Silangang Haba,Sinirangan nga Java,Skhidna Java,Tang Jawa,Tung Chau-oa-sen,Tûng Cháu-ôa-sén,Vostochnaja Java,Vychodni Java,Východní Jáva,Wschodnia Jawa,aghmosavleti iava,dong zhao wa sheng,dongjawa zhou,jawatimuleu ju,jawh shrqy,jawt alshrqyt,mshrqy jawa,purva java,Øst-Java,Đông Java,Восточная Ява,Дорно Жава,Източна Ява,Источна Јава,Східна Ява,جاوة الشرقية,جاوه شرقی,صوبہ چڑھدا جاوا,مشرقی جاوا,पूर्व जावा,აღმოსავლეთი იავა,东爪哇省,東ジャワ州,자와티무르 주",Jawa Timur,Jawa Timur,7.6507525
Banten,"Bantam,Bantan,Bantehn,Banten,Bantenas,Banteno,Bantén,Propinsi Banten,Provinsi Banten,Van-tan-sen,Van-tan-sén,banten ju,banten zhou,bantena,bantn,canghwad ban ten,wan dan sheng,Бантен,Бантэн,بانتن,بانٹین,صوبہ بانٹین,बांतेन,จังหวัดบันเตน,ბანტენი,バンテン州,万丹省,반텐 주",Banten,Banten,2.0234573
B a l i,NaT,NaT,NaT,0.0
Nusa Tenggara Barat,"Propinsi Nusa Tenggara Barat,Provinsi Nusa Tenggara Barat,West Nusa Tenggara",West Nusa Tenggara,West Nusa Tenggara,9.276229
Nusa Tenggara Timur,"Aust-Nusa Tenggara,Daerah Tingkat I Nusa Tenggara Timur,East Nusa Tenggara,Nusa Tenggara Timur,Ost-Nusa Tenggara,Propinsi Nusa Tenggara Timur,Provinsi Nusa Tenggara Timur,Øst-Nusa Tenggara",Provinsi Nusa Tenggara Timur,Provinsi Nusa Tenggara Timur,8.315378
Kalimantan Barat,"Borneo Zachodnie,Daerah Tingkat I Kalimantan Barat,Kalimantan Barat,Kalimantan Kulon,Kalimantan occidental,Laensi-Kalimantan,Länsi-Kalimantan,Propinsi Kalimantan Barat,Provinsi Kalimantan Barat,Tay Kalimantan,Tây Kalimantan,Vakaru Kalimantanas,Vakarų Kalimantanas,West Kalimantan,West-Kalimantan,kalmntan alghrbyt,xi jia li man dan sheng,xikarimantan zhou,كالمنتان الغربية,西カリマンタン州,西加里曼丹省",Provinsi Kalimantan Barat,Provinsi Kalimantan Barat,4.3545046
Kalimantan Tengah,"Central Kalimantan,Daerah Tingkat I Kalimantan Tengah,Kalimantan Tengah,Propinsi Kalimantan Tengah,Provinsi Kalimantan Tengah",Provinsi Kalimantan Tengah,Provinsi Kalimantan Tengah,8.653484
Kalimantan Selatan,Sungai Kalimantan Selatan,Sungai Kalimantan Selatan,Sungai Kalimantan Selatan,8.970122
Kalimantan Timur,Palimanan Timur,Palimanan Timur,Palimanan Timur,6.660725
Kalimantan Utara,"Kalimantan Utara,North Kalimantan",North Kalimantan,North Kalimantan,8.824524
Sulawesi Utara,"Amihanan nga Sulawesi,Bac Sulawesi,Bắc Sulawesi,Celebes Polnocny,Celebes Północny,Celebes Septentrional,Celebes do Norte,Célebes Septentrional,Daerah Tingkat I Sulawesi Utara,Kuzey Sulawesi,Noord-Celebes,Nord-Sulawesi,Norda Sulaveso,North Sulawesi,Pak Sulawesi,Pet Su-la-vi-si-sen,Pet Sû-lâ-vî-sî-sén,Pivnichne Sulavesi,Pohjois-Sulawesi,Propinsi Sulawesi Utara,Provinsi Sulawesi Utara,Severni Sulavesi,Severni Sulawesi,Severno Sulavesi,Severnyj Sulavesi,Severní Sulawesi,Siaures Sulavesis,Sulawesi Baroh,Sulawesi Kaler,Sulawesi Kalér,Sulawesi Lor,Sulawesi Settentrionale,Sulawesi Utara,Sulawesi du Nord,Sulawèsi Barôh,Umar Sulavesi,bei su la wei xi sheng,beisurau~eshi zhou,chrdiloeti sulavesi,shmaly slawysy,sullawesiutala ju,swlawsy alshmalyt,swlawsy shmaly,uttara sulavesi,Šiaurės Sulavesis,Північне Сулавесі,Северни Сулавеси,Северно Сулавеси,Северный Сулавеси,Умар Сулавеси,سولاوسي الشمالية,سولاوسی شمالی,شمالی سلاویسی,صوبہ اتلا سولاویسی,उत्तर सुलावेसी,ჩრდილოეთი სულავესი,北スラウェシ州,北苏拉威西省,술라웨시우타라 주",Sulawesi Utara,Sulawesi Utara,7.2377357
Sulawesi Tengah,"Butnga nga Sulawesi,Celebas del Centre,Celebes Central,Celebes Srodkowy,Celebes Środkowy,Centra Sulaveso,Central Sulawesi,Central'nyj Sulavesi,Centralni Sulavesi,Centralno Sulavesi,Centrinis Sulavesis,Chung Su-la-vi-si-sen,Chûng Sû-lâ-vî-sî-sén,Célebes Central,Daerah Tingkat I Sulawesi Tengah,Keski-Sulawesi,Midden-Celebes,Orta Sulawesi,Propinsi Sulawesi Tengah,Provinsi Sulawesi Tengah,Stredni Sulawesi,Střední Sulawesi,Sulawesi Centrale,Sulawesi Tengah,Sulawesi central,Trung Sulawesi,madhya sulavesi,sullawesiteung-a ju,swlawsy alwsty,swlawsy mrkzy,wsty slawysy,zhong busurau~eshi zhou,zhong su la wei xi sheng,Төв Сулавеси,Централни Сулавеси,Централно Сулавеси,Центральный Сулавеси,سولاوسي الوسطى,سولاوسی مرکزی,صوبہ گھبلا سولاویسی,وسطی سلاویسی,मध्य सुलावेसी,ცენტრალური სულავესი,中苏拉威西省,中部スラウェシ州,술라웨시틍아 주",Sulawesi Tengah,Sulawesi Tengah,7.6131415
Sulawesi Selatan,"Celebes Poludniowy,Celebes Południowy,Daerah Tingkat I Sulawesi Selatan,Etelae-Sulawesi,Etelä-Sulawesi,Propinsi Sulawesi Selatan,Provinsi Sulawesi Selatan,South Sulawesi,Sulawesi Meridionale,Sulawesi Selatan,Sulawesi du Sud,Zuid-Celebes,nansurau~eshi,nansurau~eshi zhou,swlawsy aljnwbyt,سولاوسي الجنوبية,南スラウェシ,南スラウェシ州",Provinsi Sulawesi Selatan,Provinsi Sulawesi Selatan,4.668487
Sulawesi Tenggara,"Daerah Tingkat I Sulawesi Tenggara,Propinsi Sulawesi Tenggara,Provinsi Sulawesi Tenggara,Southeast Sulawesi,Sulawesi Tenggara",Sulawesi Tenggara,Sulawesi Tenggara,11.207206
Gorontalo,Gorontalo,Gorontalo,Gorontalo,11.55378
Sulawesi Barat,"Provinsi Sulawesi Barat,Sulawesi Barat,West Sulawesi",Provinsi Sulawesi Barat,Provinsi Sulawesi Barat,9.458584
Maluku,Maluku,Maluku,Maluku,2.3163126
Maluku Utara,"Maluku Utara,North Maluku,Propinsi Maluku Utara,Provinsi Maluku Utara",Provinsi Maluku Utara,Provinsi Maluku Utara,9.850761
Papua Barat,Dapur Barat,Dapur Barat,Dapur Barat,5.9638805
Papua,Papu,Papu,Papu,4.866213
Aceh,Matangara Aceh,Matangara Aceh,Matangara Aceh,6.3583207
Sumatera Utara,"Amihanan nga Sumatra,Andalas Utara,Bac Sumatera,Bắc Sumatera,Daerah Tingkat I Sumatera Utara,Gogledd Sumatra,Ipar Sumatra,Kuzey Sumatra,Noord-Sumatra,Norda Sumatro,Nordsumatra,North Sumatra,Pak Sumatera,Pangulung Sumatra,Pet Su-mun-tap-liap-sen,Pet Sû-mùn-tap-lia̍p-sén,Pivnichna Sumatra,Pohjois-Sumatra,Propinsi Sumatera Utara,Propinsi Sumatra Utara,Provinsi Sumatera Utara,Severna Sumatra,Severnaja Sumatra,Severni Sumatra,Severní Sumatra,Siaures Sumatra,Sumatera Utara,Sumatra Baroh,Sumatra Barôh,Sumatra Kaler,Sumatra Kalér,Sumatra Lor,Sumatra Polnocna,Sumatra Północna,Sumatra Septentrional,Sumatra Settentrionale,Sumatra Utara,Sumatra do Norte,Sumatra du Nord,Umar Sumatra,bei su men da la sheng,beisumatora zhou,sumateulautala ju,swmatray shmaly,swmtrt alshmalyt,uttara sumatra,zpwn swmtrh,Šiaurės Sumatra,Північна Суматра,Северна Суматра,Северная Суматра,Умар Суматра,צפון סומטרה,سوماترای شمالی,سومطرة الشمالية,شمالی سماٹرا,صوبہ اتلا سماٹرا,उत्तर सुमात्रा,ჩრდილოეთი სუმატრა,北スマトラ州,北苏门答腊省,수마트라우타라 주",Sumatera Utara,Sumatera Utara,7.2627206
Sumatera Barat,"Daerah Tingkat I Sumatera Barat,Laensi-Sumatra,Länsi-Sumatra,Propinsi Sumatera Barat,Provinsi Sumatera Barat,Sumatera Barat,Sumatra Barat,Sumatra Zachodnia,Sumatra occidental,Tay Sumatera,Tây Sumatera,West Sumatra,West-Sumatra,swmtrt alghrbyt,swmtrt ghrb,سومطرة الغربية,سومطرة غرب",Provinsi Sumatera Barat,Provinsi Sumatera Barat,5.690537
Riau,Riau,Riau,Riau,4.7909803
Jambi,"Djambikahean,Jambi",Jambi,Jambi,4.056425
Sumatera Selatan,"Andalas Selatan,Daerah Tingkat I Sumatera Selatan,De Sumatra,Etelae-Sumatra,Etelä-Sumatra,Gueney Sumatra,Güney Sumatra,Jizni Sumatra,Jižní Sumatra,Juzhna Sumatra,Juzhnaja Sumatra,Mauling Sumatra,Nam Su-mun-tap-liap-sen,Nam Sumatera,Nàm Sû-mùn-tap-lia̍p-sén,Pietu Sumatra,Pietų Sumatra,Pivdenna Sumatra,Propinsi Sumatera Selatan,Propinsi Sumatra Selatan,Provinsi Sumatera Selatan,Salatan nga Sumatra,South Sumatra,Southern Sumatra,Suda Sumatro,Sumatera Selatan,Sumatra Kidul,Sumatra Meridional,Sumatra Meridionale,Sumatra Poludniowa,Sumatra Południowa,Sumatra Selatan,Sumatra Seulatan,Sumatra do Sul,Sumatra du Sud,Sydsumatra,Zuid-Sumatra,daksina sumatra,nan su men da la sheng,nansumatora zhou,sumateulaseullatan ju,swmatray jnwby,swmtrt aljnwbyt,Јужна Суматра,Південна Суматра,Южна Суматра,Южная Суматра,Өмнө Суматра,جنوبی سماٹرا,سوماترای جنوبی,سومطرة الجنوبية,صوبہ دکھنی سماٹرا,दक्षिण सुमात्रा,სამხრეთი სუმატრა,南スマトラ州,南苏门答腊省,수마트라슬라탄 주",Sumatera Selatan,Sumatera Selatan,7.1341844
Bengkulu,"Bengkulu,Umbulanbengkulu",Bengkulu,Bengkulu,4.0305843
Lampung,Lampung,Lampung,Lampung,1.9673837
Kepulauan Bangka Belitung,"Bangka Belitung Islands,Bangka-Belitung,Bangka–Belitung Islands,Banka-Billiton,Iles Bangka Belitung,Kepulauan Bangka Belitung,Propinsi Kepulauan Bangka Belitung,Provinsi Kepulauan Bangka Belitung,Wyspy Bangka i Belitung,bang jia-wu li dong sheng,banjka - blytwnj,Îles Bangka Belitung,بانجكا - بليتونج,邦加-勿里洞省",Kepulauan Bangka Belitung,Kepulauan Bangka Belitung,6.396063
Kepulauan Riau,"Kepulauan Riau,Provinsi Kepulauan Riau,Riau Islands,Riau-oyane,Riau-oyene,Riau-øyane,Riau-øyene",Provinsi Kepulauan Riau,Provinsi Kepulauan Riau,6.9168715
DKI Jakarta,"Daerah Chusus Ibukota Djakarta Raya,Daerah Khusus Ibokota Jakarta,Daerah Khusus Ibukota Jakarta,Daerah Khusus Ibukota Jakarta Raya,Greater Djakarta,Jakarta,Jakarta Raya,Kotapradja Djakarta-Raja,Propinsi DKI Jakarta",Daerah Khusus Ibukota Jakarta,Daerah Khusus Ibukota Jakarta,3.466949
Jawa Barat,"Bati Cava,Batı Cava,Cava Rocawani,Daerah Tingkat I Djawa Barat,Giava Occidentale,Gorllewin Jawa,Java Barat,Java Occidental,Java Ocidental,Java occidental,Jawa Barat,Jawa Kulon,Jawa Zachodnia,Kanlurang Haba,Katundan nga Java,Laensi-Jaava,Länsi-Jaava,Okcidenta Javo,Propinsi Djawa Barat,Propinsi Jawa Barat,Provincia Java de Vest,Provinsi Jawa Barat,Se Jawa,Si Chau-oa-sen,Sî Cháu-ôa-sén,Tay Java,Tây Java,Vakaru Java,Vakarų Java,Vestjava,West Java,West-Java,Zakhidna Java,Zapadna Java,Zapadnaja Java,Zapadni Java,Západní Jáva,canghwad chwa tawan tk,dasavleti iava,jawabalas ju,jawh ghrby,jawt alghrbyt,mghrby jawa,pascima java,xi zhao wa sheng,xijawa zhou,Западна Јава,Западна Ява,Западная Ява,Західна Ява,Өрнө Жава,جاوة الغربية,جاوه غربی,صوبہ لہندا جاوا,مغربی جاوا,पश्चिम जावा,จังหวัดชวาตะวันตก,დასავლეთი იავა,西ジャワ州,西爪哇省,자와바랏 주",Jawa Barat,Jawa Barat,8.442406
Jawa Tengah,Jati Tengah,Jati Tengah,Jati Tengah,6.9837885
DI Yogyakarta,"DI Yogyakarta,DIY,Daerah Istimewa Yogyakarta,Djogjakarta,Djokja,Djokjakarta,Dzhodzhakarta,Dzhok'jakarta,Dzhokjakarta,Dzogdzakarta,Dzogjakarta,Džogjakarta,Gionkiakarta,JOG,Jogjakarta,Jogjakarto,Jogyakarta,Jokjakarta,Jokyakarta,Kota Yogyakarta,Kuta Yogyakarta,Kutha Ngayogyakarta,Special Region of Yogyakarta,Yogyakarta,jogujakaruta shi,ri re,yog-yakaleuta,yogyakarta,ywgyakarta,ywjyakrta,yxk ya kar ta,Γιογκιακάρτα,Џогџакарта,Джоджакарта,Джокьякарта,Джокякарта,يوجياكرتا,یوگیاکارتا,योग्यकर्ता,योग्यकार्ता,ยอกยาการ์ตา,ჯოკიაკარტა,ジョグジャカルタ市,日惹,욕야카르타",Yogyakarta,Yogyakarta,2.7525754
Jawa Timur,"Aust-Java,Cava Rocvetisi,Cava Rocvetışi,Daerah Tingkat I Djawa Timur,Dogu Cava,Dong Java,Dorno Zhava,Doğu Cava,Dwyrain Jawa,East Java,Giava Orientale,Istochna Java,Itae-Jaava,Itä-Jaava,Iztochna Java,Java Oriental,Java Timur,Java oriental,Jawa Timu,Jawa Timur,Jawa Wetan,Jawa Wschodnia,Jawa Wétan,Oost-Java,Orienta Javo,Ost-Java,Propinsi Djawa Timur,Propinsi Jawa Timur,Provincia Java de Est,Provinsi Jawa Timur,Rytu Java,Rytų Java,Silangang Haba,Sinirangan nga Java,Skhidna Java,Tang Jawa,Tung Chau-oa-sen,Tûng Cháu-ôa-sén,Vostochnaja Java,Vychodni Java,Východní Jáva,Wschodnia Jawa,aghmosavleti iava,dong zhao wa sheng,dongjawa zhou,jawatimuleu ju,jawh shrqy,jawt alshrqyt,mshrqy jawa,purva java,Øst-Java,Đông Java,Восточная Ява,Дорно Жава,Източна Ява,Источна Јава,Східна Ява,جاوة الشرقية,جاوه شرقی,صوبہ چڑھدا جاوا,مشرقی جاوا,पूर्व जावा,აღმოსავლეთი იავა,东爪哇省,東ジャワ州,자와티무르 주",Jawa Timur,Jawa Timur,7.6507525
Banten,"Bantam,Bantan,Bantehn,Banten,Bantenas,Banteno,Bantén,Propinsi Banten,Provinsi Banten,Van-tan-sen,Van-tan-sén,banten ju,banten zhou,bantena,bantn,canghwad ban ten,wan dan sheng,Бантен,Бантэн,بانتن,بانٹین,صوبہ بانٹین,बांतेन,จังหวัดบันเตน,ბანტენი,バンテン州,万丹省,반텐 주",Banten,Banten,2.0234573
B a l i,NaT,NaT,NaT,0.0
Nusa Tenggara Barat,"Propinsi Nusa Tenggara Barat,Provinsi Nusa Tenggara Barat,West Nusa Tenggara",West Nusa Tenggara,West Nusa Tenggara,9.276229
Nusa Tenggara Timur,"Aust-Nusa Tenggara,Daerah Tingkat I Nusa Tenggara Timur,East Nusa Tenggara,Nusa Tenggara Timur,Ost-Nusa Tenggara,Propinsi Nusa Tenggara Timur,Provinsi Nusa Tenggara Timur,Øst-Nusa Tenggara",Provinsi Nusa Tenggara Timur,Provinsi Nusa Tenggara Timur,8.315378
Kalimantan Barat,"Borneo Zachodnie,Daerah Tingkat I Kalimantan Barat,Kalimantan Barat,Kalimantan Kulon,Kalimantan occidental,Laensi-Kalimantan,Länsi-Kalimantan,Propinsi Kalimantan Barat,Provinsi Kalimantan Barat,Tay Kalimantan,Tây Kalimantan,Vakaru Kalimantanas,Vakarų Kalimantanas,West Kalimantan,West-Kalimantan,kalmntan alghrbyt,xi jia li man dan sheng,xikarimantan zhou,كالمنتان الغربية,西カリマンタン州,西加里曼丹省",Provinsi Kalimantan Barat,Provinsi Kalimantan Barat,4.3545046
Kalimantan Tengah,"Central Kalimantan,Daerah Tingkat I Kalimantan Tengah,Kalimantan Tengah,Propinsi Kalimantan Tengah,Provinsi Kalimantan Tengah",Provinsi Kalimantan Tengah,Provinsi Kalimantan Tengah,8.653484
Kalimantan Selatan,Sungai Kalimantan Selatan,Sungai Kalimantan Selatan,Sungai Kalimantan Selatan,8.970122
Kalimantan Timur,Palimanan Timur,Palimanan Timur,Palimanan Timur,6.660725
Kalimantan Utara,"Kalimantan Utara,North Kalimantan",North Kalimantan,North Kalimantan,8.824524
Sulawesi Utara,"Amihanan nga Sulawesi,Bac Sulawesi,Bắc Sulawesi,Celebes Polnocny,Celebes Północny,Celebes Septentrional,Celebes do Norte,Célebes Septentrional,Daerah Tingkat I Sulawesi Utara,Kuzey Sulawesi,Noord-Celebes,Nord-Sulawesi,Norda Sulaveso,North Sulawesi,Pak Sulawesi,Pet Su-la-vi-si-sen,Pet Sû-lâ-vî-sî-sén,Pivnichne Sulavesi,Pohjois-Sulawesi,Propinsi Sulawesi Utara,Provinsi Sulawesi Utara,Severni Sulavesi,Severni Sulawesi,Severno Sulavesi,Severnyj Sulavesi,Severní Sulawesi,Siaures Sulavesis,Sulawesi Baroh,Sulawesi Kaler,Sulawesi Kalér,Sulawesi Lor,Sulawesi Settentrionale,Sulawesi Utara,Sulawesi du Nord,Sulawèsi Barôh,Umar Sulavesi,bei su la wei xi sheng,beisurau~eshi zhou,chrdiloeti sulavesi,shmaly slawysy,sullawesiutala ju,swlawsy alshmalyt,swlawsy shmaly,uttara sulavesi,Šiaurės Sulavesis,Північне Сулавесі,Северни Сулавеси,Северно Сулавеси,Северный Сулавеси,Умар Сулавеси,سولاوسي الشمالية,سولاوسی شمالی,شمالی سلاویسی,صوبہ اتلا سولاویسی,उत्तर सुलावेसी,ჩრდილოეთი სულავესი,北スラウェシ州,北苏拉威西省,술라웨시우타라 주",Sulawesi Utara,Sulawesi Utara,7.2377357
Sulawesi Tengah,"Butnga nga Sulawesi,Celebas del Centre,Celebes Central,Celebes Srodkowy,Celebes Środkowy,Centra Sulaveso,Central Sulawesi,Central'nyj Sulavesi,Centralni Sulavesi,Centralno Sulavesi,Centrinis Sulavesis,Chung Su-la-vi-si-sen,Chûng Sû-lâ-vî-sî-sén,Célebes Central,Daerah Tingkat I Sulawesi Tengah,Keski-Sulawesi,Midden-Celebes,Orta Sulawesi,Propinsi Sulawesi Tengah,Provinsi Sulawesi Tengah,Stredni Sulawesi,Střední Sulawesi,Sulawesi Centrale,Sulawesi Tengah,Sulawesi central,Trung Sulawesi,madhya sulavesi,sullawesiteung-a ju,swlawsy alwsty,swlawsy mrkzy,wsty slawysy,zhong busurau~eshi zhou,zhong su la wei xi sheng,Төв Сулавеси,Централни Сулавеси,Централно Сулавеси,Центральный Сулавеси,سولاوسي الوسطى,سولاوسی مرکزی,صوبہ گھبلا سولاویسی,وسطی سلاویسی,मध्य सुलावेसी,ცენტრალური სულავესი,中苏拉威西省,中部スラウェシ州,술라웨시틍아 주",Sulawesi Tengah,Sulawesi Tengah,7.6131415
Sulawesi Selatan,"Celebes Poludniowy,Celebes Południowy,Daerah Tingkat I Sulawesi Selatan,Etelae-Sulawesi,Etelä-Sulawesi,Propinsi Sulawesi Selatan,Provinsi Sulawesi Selatan,South Sulawesi,Sulawesi Meridionale,Sulawesi Selatan,Sulawesi du Sud,Zuid-Celebes,nansurau~eshi,nansurau~eshi zhou,swlawsy aljnwbyt,سولاوسي الجنوبية,南スラウェシ,南スラウェシ州",Provinsi Sulawesi Selatan,Provinsi Sulawesi Selatan,4.668487
Sulawesi Tenggara,"Daerah Tingkat I Sulawesi Tenggara,Propinsi Sulawesi Tenggara,Provinsi Sulawesi Tenggara,Southeast Sulawesi,Sulawesi Tenggara",Sulawesi Tenggara,Sulawesi Tenggara,11.207206
Gorontalo,Gorontalo,Gorontalo,Gorontalo,11.55378
Sulawesi Barat,"Provinsi Sulawesi Barat,Sulawesi Barat,West Sulawesi",Provinsi Sulawesi Barat,Provinsi Sulawesi Barat,9.458584
Maluku,Maluku,Maluku,Maluku,2.3163126
Maluku Utara,"Maluku Utara,North Maluku,Propinsi Maluku Utara,Provinsi Maluku Utara",Provinsi Maluku Utara,Provinsi Maluku Utara,9.850761
Papua Barat,Dapur Barat,Dapur Barat,Dapur Barat,5.9638805
Papua,Papu,Papu,Papu,4.866213
